course_code,other_course_code,size
COMP1600,COMP1600,272
COMP1600,COMP1601,250
COMP1600,INFO1600,150
COMP1600,MATH1115,200
COMP1600,FOUN1101,220
COMP1601,COMP1600,250
COMP1601,COMP1601,345
COMP1601,INFO1600,170
COMP1601,MATH1115,230
COMP1601,FOUN1101,280
INFO1600,COMP1600,150
INFO1600,COMP1601,170
INFO1600,INFO1600,183
INFO1600,MATH1115,120
INFO1600,FOUN1101,140
MATH1115,COMP1600,200
MATH1115,COMP1601,230
MATH1115,INFO1600,120
MATH1115,MATH1115,315
MATH1115,FOUN1101,250
FOUN1101,COMP1600,220
FOUN1101,COMP1601,280
FOUN1101,INFO1600,140
FOUN1101,MATH1115,250
FOUN1101,FOUN1101,500
COMP1602,COMP1602,322
COMP1602,COMP1603,300
COMP1602,COMP1604,280
COMP1602,INFO1601,160
COMP1602,FOUN1105,350
COMP1603,COMP1602,300
COMP1603,COMP1603,222
COMP1603,COMP1604,200
COMP1603,INFO1601,140
COMP1603,FOUN1105,300
COMP1604,COMP1602,280
COMP1604,COMP1603,200
COMP1604,COMP1604,139
COMP1604,INFO1601,100
COMP1604,FOUN1105,250
INFO1601,COMP1602,160
INFO1601,COMP1603,140
INFO1601,COMP1604,100
INFO1601,INFO1601,192
INFO1601,FOUN1105,180
FOUN1105,COMP1602,350
FOUN1105,COMP1603,300
FOUN1105,COMP1604,250
FOUN1105,INFO1601,180
FOUN1105,FOUN1105,579
COMP1600,COMP1602, 100
COMP1600,COMP1603, 100
COMP1600,COMP1604, 100
COMP1600,INFO1601, 100
COMP1600,FOUN1105, 200
COMP1601,COMP1602, 120
COMP1601,COMP1603, 120
COMP1601,COMP1604, 120
COMP1601,INFO1601, 120
COMP1601,FOUN1105, 250
INFO1600,COMP1602, 80
INFO1600,COMP1603, 80
INFO1600,COMP1604, 80
INFO1600,INFO1601, 80
INFO1600,FOUN1105, 120
MATH1115,COMP1602, 150
MATH1115,COMP1603, 150
MATH1115,COMP1604, 150
MATH1115,INFO1601, 150
MATH1115,FOUN1105, 200
FOUN1101,COMP1602, 200
FOUN1101,COMP1603, 200
FOUN1101,COMP1604, 200
FOUN1101,INFO1601, 200
FOUN1101,FOUN1105, 300
COMP1602,COMP1600,100
COMP1602,COMP1601,120
COMP1602,INFO1600,80
COMP1602,MATH1115,150
COMP1602,FOUN1101,200
COMP1603,COMP1600,100
COMP1603,COMP1601,120
COMP1603,INFO1600,80
COMP1603,MATH1115,150
COMP1603,FOUN1101,200
COMP1604,COMP1600,100
COMP1604,COMP1601,120
COMP1604,INFO1600,80
COMP1604,MATH1115,150
COMP1604,FOUN1101,200
INFO1601,COMP1600,100
INFO1601,COMP1601,120
INFO1601,INFO1600,80
INFO1601,MATH1115,150
INFO1601,FOUN1101,200
FOUN1105,COMP1600,200
FOUN1105,COMP1601,250
FOUN1105,INFO1600,120
FOUN1105,MATH1115,200
FOUN1105,FOUN1101,300
